onset	duration	trial_type	value	sample
715.46484375	0.0	ROWS	7	183159
715.83203125	0.0	ROWE	6	183253
715.875	0.0	ROWS	7	183264
719.83203125	0.0	ROWE	6	184277
719.8984375	0.0	ROWS	7	184294
724.25	0.0	ROWE	6	185408
724.3125	0.0	ROWS	7	185424
728.1484375	0.0	ROWE	6	186406
728.21484375	0.0	ROWS	7	186423
732.48046875	0.0	ROWE	6	187515
732.5390625	0.0	ROWS	7	187530
736.75	0.0	ROWE	6	188608
736.80859375	0.0	ROWS	7	188623
739.6640625	0.0	ROWE	6	189354
739.7265625	0.0	ROWS	7	189370
743.83203125	0.0	ROWE	6	190421
743.8984375	0.0	ROWS	7	190438
748.1640625	0.0	ROWE	6	191530
748.23046875	0.0	ROWS	7	191547
752.59765625	0.0	ROWE	6	192665
752.671875	0.0	ROWS	7	192684
756.9296875	0.0	ROWE	6	193774
757.0078125	0.0	ROWS	7	193794
761.4296875	0.0	ROWE	6	194926
761.51171875	0.0	ROWS	7	194947
766.03125	0.0	ROWE	6	196104
766.109375	0.0	ROWS	7	196124
770.4140625	0.0	ROWE	6	197226
770.48046875	0.0	ROWS	7	197243
774.74609375	0.0	ROWE	6	198335
774.81640625	0.0	ROWS	7	198353
777.78125	0.0	ROWE	6	199112
777.85546875	0.0	ROWS	7	199131
782.23046875	0.0	ROWE	6	200251
782.31640625	0.0	ROWS	7	200273
786.73046875	0.0	ROWE	6	201403
786.80859375	0.0	ROWS	7	201423
790.328125	0.0	ROWE	6	202324
790.40234375	0.0	ROWS	7	202343
794.765625	0.0	ROWE	6	203460
794.828125	0.0	ROWS	7	203476
799.09765625	0.0	ROWE	6	204569
799.171875	0.0	ROWS	7	204588
803.4296875	0.0	ROWE	6	205678
803.48046875	0.0	ROWS	7	205691
807.61328125	0.0	ROWE	6	206749
807.66796875	0.0	ROWS	7	206763
808.46484375	0.0	ROWE	6	206967
808.515625	0.0	ROWS	7	206980
812.71484375	0.0	ROWE	6	208055
812.7734375	0.0	ROWS	7	208070
816.87890625	0.0	ROWE	6	209121
816.9375	0.0	ROWS	7	209136
818.96484375	0.0	ROWE	6	209655
819.0234375	0.0	ROWS	7	209670
823.12890625	0.0	ROWE	6	210721
823.1953125	0.0	ROWS	7	210738
827.46484375	0.0	ROWE	6	211831
827.53515625	0.0	ROWS	7	211849
831.796875	0.0	ROWE	6	212940
831.85546875	0.0	ROWS	7	212955
836.0625	0.0	ROWE	6	214032
836.12890625	0.0	ROWS	7	214049
838.23046875	0.0	ROWE	6	214587
838.2890625	0.0	ROWS	7	214602
842.39453125	0.0	ROWE	6	215653
842.45703125	0.0	ROWS	7	215669
846.5625	0.0	ROWE	6	216720
846.62109375	0.0	ROWS	7	216735
847.8125	0.0	ROWE	6	217040
847.87109375	0.0	ROWS	7	217055
851.98046875	0.0	ROWE	6	218107
852.02734375	0.0	ROWS	7	218119
856.078125	0.0	ROWE	6	219156
856.12890625	0.0	ROWS	7	219169
856.49609375	0.0	ROWE	6	219263
856.546875	0.0	ROWS	7	219276
860.546875	0.0	ROWE	6	220300
860.6015625	0.0	ROWS	7	220314
864.7109375	0.0	ROWE	6	221366
864.7734375	0.0	ROWS	7	221382
866.37890625	0.0	ROWE	6	221793
866.4375	0.0	ROWS	7	221808
870.546875	0.0	ROWE	6	222860
870.6015625	0.0	ROWS	7	222874
874.7109375	0.0	ROWE	6	223926
874.76171875	0.0	ROWS	7	223939
877.12890625	0.0	ROWE	6	224545
877.1796875	0.0	ROWS	7	224558
879.24609375	0.0	ROWE	6	225087
879.30078125	0.0	ROWS	7	225101
883.41015625	0.0	ROWE	6	226153
883.47265625	0.0	ROWS	7	226169
887.578125	0.0	ROWE	6	227220
887.63671875	0.0	ROWS	7	227235
890.078125	0.0	ROWE	6	227860
890.140625	0.0	ROWS	7	227876
894.24609375	0.0	ROWE	6	228927
894.3046875	0.0	ROWS	7	228942
898.41015625	0.0	ROWE	6	229993
898.4765625	0.0	ROWS	7	230010
901.54296875	0.0	ROWE	6	230795
901.61328125	0.0	ROWS	7	230813
905.87890625	0.0	ROWE	6	231905
905.94921875	0.0	ROWS	7	231923
910.2109375	0.0	ROWE	6	233014
910.28125	0.0	ROWS	7	233032
913.77734375	0.0	ROWE	6	233927
913.84375	0.0	ROWS	7	233944
918.109375	0.0	ROWE	6	235036
918.171875	0.0	ROWS	7	235052
922.27734375	0.0	ROWE	6	236103
922.34375	0.0	ROWS	7	236120
925.30859375	0.0	ROWE	6	236879
925.37890625	0.0	ROWS	7	236897
929.7421875	0.0	ROWE	6	238014
929.81640625	0.0	ROWS	7	238033
934.078125	0.0	ROWE	6	239124
934.14453125	0.0	ROWS	7	239141
937.109375	0.0	ROWE	6	239900
937.171875	0.0	ROWS	7	239916
