onset	duration	event_id
31263	0	5
31275	0	6
32304	0	5
32311	0	6
32402	0	5
33457	0	1
34519	0	6
34612	0	5
34627	0	6
35641	0	5
35656	0	6
36707	0	5
36724	0	6
37245	0	5
37261	0	6
38312	0	5
38325	0	6
39383	0	5
39396	0	6
39796	0	5
39812	0	6
40863	0	5
40878	0	6
41930	0	5
41946	0	6
42356	0	5
42388	0	6
43444	0	5
43460	0	6
44511	0	5
44527	0	6
44937	0	5
44949	0	6
45961	0	5
45976	0	6
46375	0	5
46389	0	6
47455	0	5
47472	0	6
48526	0	5
48542	0	6
49413	0	5
49429	0	6
50501	0	5
50516	0	6
51568	0	5
51585	0	6
52212	0	5
52227	0	6
53279	0	5
53295	0	6
54290	0	5
54306	0	6
55399	0	5
55415	0	6
56483	0	5
56499	0	6
57230	0	5
57245	0	6
58296	0	5
58308	0	6
59320	0	5
59332	0	6
59422	0	5
59435	0	6
60447	0	5
60463	0	6
61535	0	5
61552	0	6
62422	0	5
62435	0	6
63489	0	5
63504	0	6
63809	0	5
63824	0	6
64892	0	5
64908	0	6
65959	0	5
65975	0	6
66599	0	5
66614	0	6
67666	0	5
67682	0	6
68754	0	5
68770	0	6
69607	0	5
69623	0	6
70673	0	5
70690	0	6
71800	0	5
71818	0	6
72909	0	5
72928	0	6
74036	0	5
74054	0	6
75145	0	5
75163	0	6
76254	0	5
76272	0	6
77381	0	5
77396	0	6
78447	0	5
78463	0	6
79087	0	5
79102	0	6
80171	0	5
80188	0	6
81169	0	5
81186	0	6
82279	0	5
82294	0	6
83345	0	5
83379	0	6
84220	0	5
84236	0	6
85291	0	5
85306	0	6
86358	0	5
86374	0	6
87108	0	5
87142	0	6
88196	0	5
88213	0	6
89306	0	5
89322	0	6
90304	0	5
90339	0	6
91430	0	5
91447	0	6
92540	0	5
92557	0	6
93444	0	5
93463	0	6
94554	0	5
94569	0	6
95642	0	5
95657	0	6
96281	0	5
96299	0	6
97391	0	5
97406	0	6
98457	0	5
98473	0	6
98884	0	5
98898	0	6
99972	0	5
99983	0	6
100996	0	5
101002	0	6
101094	0	5
101095	0	2
102284	0	6
102379	0	5
102390	0	6
103402	0	5
103416	0	6
104465	0	5
104479	0	6
104785	0	5
104798	0	6
105813	0	5
105828	0	6
106687	0	5
106704	0	6
107759	0	5
107776	0	6
108868	0	5
108885	0	6
109879	0	5
109897	0	6
110988	0	5
111004	0	6
112059	0	5
112076	0	6
113186	0	5
113202	0	6
114257	0	5
114273	0	6
115114	0	5
115127	0	6
116138	0	5
116152	0	6
116573	0	5
116588	0	6
117640	0	5
117655	0	6
118706	0	5
118722	0	6
119346	0	5
119362	0	6
120413	0	5
120429	0	6
121501	0	5
121519	0	6
122388	0	5
122409	0	6
123540	0	5
123559	0	6
124671	0	5
124689	0	6
125004	0	5
125019	0	6
126071	0	5
126086	0	6
127137	0	5
127152	0	6
127777	0	5
127792	0	6
128865	0	5
128881	0	6
129932	0	5
129947	0	6
130785	0	5
130801	0	6
131852	0	5
131867	0	6
132940	0	5
132957	0	6
133827	0	5
133842	0	6
134894	0	5
134908	0	6
135534	0	5
135548	0	6
136600	0	5
136616	0	6
137582	0	5
137598	0	6
138691	0	5
138708	0	6
139800	0	5
139818	0	6
140931	0	5
140948	0	6
142040	0	5
142057	0	6
143171	0	5
143185	0	6
144238	0	5
144253	0	6
144878	0	5
144893	0	6
145944	0	5
145961	0	6
147053	0	5
147070	0	6
148180	0	5
148196	0	6
149289	0	5
149307	0	6
150398	0	5
150439	0	6
151538	0	5
151553	0	6
152604	0	5
152618	0	6
152924	0	5
152932	0	6
153905	0	5
153917	0	6
154008	0	5
154020	0	6
155032	0	5
155048	0	6
156163	0	5
156181	0	6
156939	0	5
156955	0	6
158010	0	5
158025	0	6
159076	0	5
159092	0	6
159845	0	5
159860	0	6
