onset	duration	trial_type	value	sample
409.546	0.0	ROWS	11	409546
412.817	0.0	ROWE	10	412817
412.879	0.0	ROWS	11	412879
416.984	0.0	ROWE	10	416984
417.05	0.0	ROWS	11	417050
421.334	0.0	ROWE	10	421334
421.4	0.0	ROWS	11	421400
425.234	0.0	ROWE	10	425234
425.302	0.0	ROWS	11	425302
429.567	0.0	ROWE	10	429567
429.63	0.0	ROWS	11	429630
433.833	0.0	ROWE	10	433833
433.898	0.0	ROWS	11	433898
438.166	0.0	ROWE	10	438166
438.23	0.0	ROWS	11	438230
442.348	0.0	ROWE	10	442348
442.414	0.0	ROWS	11	442414
