onset	duration	trial_type	value	sample
952.603	0.0	ROWE	10	952603
952.667	0.0	ROWS	11	952667
954.77	0.0	ROWE	10	954770
954.829	0.0	ROWS	11	954829
958.936	0.0	ROWE	10	958936
958.997	0.0	ROWS	11	958997
963.103	0.0	ROWE	10	963103
963.161	0.0	ROWS	11	963161
964.353	0.0	ROWE	10	964353
964.411	0.0	ROWS	11	964411
968.52	0.0	ROWE	10	968520
968.567	0.0	ROWS	11	968567
972.619	0.0	ROWE	10	972619
972.669	0.0	ROWS	11	972669
973.035	0.0	ROWE	10	973035
973.086	0.0	ROWS	11	973086
977.085	0.0	ROWE	10	977085
977.143	0.0	ROWS	11	977143
981.252	0.0	ROWE	10	981252
981.313	0.0	ROWS	11	981313
982.919	0.0	ROWE	10	982919
982.977	0.0	ROWS	11	982977
987.085	0.0	ROWE	10	987085
987.143	0.0	ROWS	11	987143
991.252	0.0	ROWE	10	991252
991.302	0.0	ROWS	11	991302
993.668	0.0	ROWE	10	993668
993.72	0.0	ROWS	11	993720
995.785	0.0	ROWE	10	995785
995.842	0.0	ROWS	11	995842
999.952	0.0	ROWE	10	999952
1000.011	0.0	ROWS	11	1000011
1004.118	0.0	ROWE	10	1004118
1004.178	0.0	ROWS	11	1004178
1006.618	0.0	ROWE	10	1006618
1006.679	0.0	ROWS	11	1006679
1010.785	0.0	ROWE	10	1010785
1010.845	0.0	ROWS	11	1010845
1014.951	0.0	ROWE	10	1014951
1015.015	0.0	ROWS	11	1015015
1018.084	0.0	ROWE	10	1018084
1018.153	0.0	ROWS	11	1018153
1022.418	0.0	ROWE	10	1022418
1022.488	0.0	ROWS	11	1022488
1026.751	0.0	ROWE	10	1026751
1026.823	0.0	ROWS	11	1026823
1030.317	0.0	ROWE	10	1030317
1030.382	0.0	ROWS	11	1030382
1034.651	0.0	ROWE	10	1034651
1034.711	0.0	ROWS	11	1034711
1038.818	0.0	ROWE	10	1038818
1038.885	0.0	ROWS	11	1038885
1041.85	0.0	ROWE	10	1041850
1041.918	0.0	ROWS	11	1041918
1046.283	0.0	ROWE	10	1046283
1046.358	0.0	ROWS	11	1046358
1050.617	0.0	ROWE	10	1050617
1050.684	0.0	ROWS	11	1050684
1053.65	0.0	ROWE	10	1053650
